rb,Year,Date
p134,2020,2020-07-09
p134,2020,2020-07-16
p134,2020,2020-07-17
p134,2020,2020-07-31
p134,2020,2020-08-03
p134,2020,2020-08-07
p134,2020,2020-08-08
p134,2020,2020-08-14
p134,2021,2021-06-10
p134,2021,2021-06-14
p134,2021,2021-06-15
p134,2021,2021-06-16
p134,2021,2021-06-21
p134,2021,2021-06-22
p134,2021,2021-06-25
p134,2021,2021-07-08
p134,2021,2021-07-09
p134,2021,2021-07-10
p134,2021,2021-07-13
p134,2021,2021-07-14
p134,2021,2021-07-21
p134,2023,2023-07-16
p134,2023,2023-07-17
p134,2023,2023-07-20
p134,2023,2023-07-22
p134,2023,2023-07-23
p134,2023,2023-07-24
p134,2023,2023-08-19
p134,2023,2023-08-20
p134,2023,2023-08-21
p134,2023,2023-09-11
p134,2026,2026-07-07
p134,2026,2026-07-08
p134,2026,2026-07-09
p134,2026,2026-07-11
p134,2026,2026-07-12
p134,2026,2026-07-13
p134,2026,2026-07-18
p134,2026,2026-07-19
p134,2026,2026-07-20
p134,2026,2026-07-21
p134,2026,2026-07-28
p134,2026,2026-07-29
p134,2027,2027-07-09
p134,2027,2027-07-21
p134,2027,2027-07-22
p134,2027,2027-07-23
p134,2028,2028-06-22
p134,2028,2028-06-23
p134,2028,2028-07-09
p134,2028,2028-07-15
p134,2028,2028-07-16
p134,2028,2028-07-17
p134,2028,2028-08-01
p134,2028,2028-08-02
p134,2028,2028-08-16
p134,2028,2028-08-17
p134,2028,2028-08-18
p134,2028,2028-08-19
p134,2028,2028-08-20
p134,2030,2030-06-30
p134,2030,2030-07-05
p134,2032,2032-07-10
p134,2032,2032-07-11
p134,2032,2032-07-12
p134,2032,2032-07-13
p134,2033,2033-07-03
p134,2033,2033-07-04
p134,2033,2033-07-06
p134,2033,2033-07-07
p134,2033,2033-07-08
p134,2033,2033-07-09
p134,2033,2033-07-14
p134,2033,2033-07-15
p134,2033,2033-07-20
p134,2033,2033-07-21
p134,2033,2033-07-28
p134,2033,2033-07-29
p134,2035,2035-08-13
p134,2035,2035-08-14
p134,2035,2035-08-17
p134,2036,2036-05-19
p134,2036,2036-06-23
p134,2036,2036-07-01
p134,2037,2037-07-03
p134,2037,2037-07-04
p134,2037,2037-07-28
p134,2038,2038-06-26
p134,2038,2038-06-27
p134,2038,2038-06-30
p134,2038,2038-07-20
p134,2039,2039-07-23
p134,2039,2039-07-24
p134,2039,2039-07-26
p134,2039,2039-07-28
p134,2039,2039-07-30
p134,2039,2039-07-31
p134,2039,2039-08-01
p134,2039,2039-08-07
p134,2039,2039-08-08
p134,2039,2039-08-12
p134,2039,2039-08-17
p134,2039,2039-08-18
p134,2040,2040-07-10
p134,2040,2040-08-16
p134,2041,2041-08-08
p134,2042,2042-07-05
p134,2042,2042-07-18
p134,2042,2042-07-19
p134,2042,2042-07-30
p134,2042,2042-08-13
p134,2042,2042-08-20
p134,2042,2042-08-22
p134,2042,2042-08-23
p134,2042,2042-08-24
p134,2045,2045-07-26
p134,2045,2045-07-27
p134,2047,2047-07-19
p134,2047,2047-08-04
p134,2047,2047-08-05
p134,2047,2047-08-07
p134,2047,2047-08-08
p134,2047,2047-08-09
p134,2047,2047-08-10
p134,2047,2047-08-13
p134,2047,2047-08-15
p134,2047,2047-08-16
p134,2047,2047-08-17
p134,2047,2047-08-19
p134,2047,2047-08-20
p134,2047,2047-08-21
p134,2047,2047-08-22
p134,2048,2048-06-07
p134,2048,2048-06-08
p134,2048,2048-06-09
p134,2048,2048-06-10
p134,2048,2048-07-21
p134,2048,2048-07-22
p134,2048,2048-07-30
p134,2048,2048-08-02
p134,2048,2048-08-05
p134,2049,2049-08-11
p134,2050,2050-06-13
p134,2050,2050-06-14
p134,2050,2050-06-15
p134,2050,2050-06-22
p134,2050,2050-06-23
p134,2050,2050-06-24
p134,2050,2050-06-27
p134,2050,2050-06-28
p134,2050,2050-07-07
p134,2050,2050-07-08
p134,2050,2050-07-20
p134,2050,2050-07-24
p134,2050,2050-07-25
p134,2050,2050-08-05
p134,2050,2050-08-10
p134,2050,2050-09-03
p134,2051,2051-05-31
p134,2051,2051-06-01
p134,2051,2051-06-20
p134,2051,2051-06-21
p134,2051,2051-06-28
p134,2051,2051-07-04
p134,2051,2051-07-12
p134,2051,2051-07-13
p134,2051,2051-07-19
p134,2051,2051-07-20
p134,2051,2051-07-21
p134,2051,2051-07-22
p134,2051,2051-07-24
p134,2051,2051-07-25
p134,2051,2051-07-27
p134,2051,2051-07-28
p134,2051,2051-07-29
p134,2051,2051-08-02
p134,2051,2051-08-04
p134,2051,2051-08-07
p134,2051,2051-08-08
p134,2051,2051-08-09
p134,2051,2051-08-10
p134,2052,2052-06-28
p134,2052,2052-06-29
p134,2052,2052-06-30
p134,2052,2052-07-01
p134,2052,2052-07-02
p134,2052,2052-07-03
p134,2052,2052-07-04
p134,2052,2052-07-05
p134,2052,2052-07-06
p134,2052,2052-07-07
p134,2052,2052-07-08
p134,2052,2052-07-24
p134,2052,2052-07-26
p134,2052,2052-07-27
p134,2055,2055-06-15
p134,2055,2055-06-16
p134,2055,2055-06-18
p134,2055,2055-06-21
p134,2055,2055-07-10
p134,2055,2055-07-14
p134,2055,2055-07-19
p134,2055,2055-07-20
p134,2055,2055-08-05
p134,2056,2056-07-14
p134,2056,2056-07-24
p134,2056,2056-07-25
p134,2056,2056-07-26
p134,2056,2056-07-27
p134,2056,2056-07-28
p134,2056,2056-08-26
p134,2056,2056-08-27
p134,2057,2057-07-21
p134,2057,2057-07-22
p134,2059,2059-10-03
p134,2060,2060-06-15
p134,2060,2060-06-16
p134,2060,2060-06-27
p134,2060,2060-06-28
p134,2060,2060-06-29
p134,2060,2060-07-05
p134,2060,2060-07-06
p134,2060,2060-07-08
p134,2060,2060-07-09
p134,2060,2060-07-10
p134,2060,2060-07-11
p134,2060,2060-07-12
p134,2060,2060-07-13
p134,2060,2060-07-15
p134,2060,2060-07-16
p134,2060,2060-07-17
p134,2060,2060-07-18
p134,2060,2060-07-19
p134,2060,2060-07-20
p134,2060,2060-07-21
p134,2060,2060-07-22
p134,2060,2060-07-30
p134,2060,2060-07-31
p134,2060,2060-08-01
p134,2060,2060-08-02
p134,2060,2060-08-03
p134,2060,2060-08-04
p134,2060,2060-08-05
p134,2060,2060-08-06
p134,2060,2060-08-07
p134,2060,2060-08-08
p134,2060,2060-08-09
p134,2060,2060-08-10
p134,2060,2060-08-11
p134,2060,2060-08-13
p134,2060,2060-08-14
p134,2060,2060-08-15
p134,2060,2060-08-16
p134,2060,2060-08-19
p134,2060,2060-08-20
p134,2060,2060-08-28
p134,2060,2060-08-29
p134,2060,2060-09-01
p134,2060,2060-09-02
p134,2060,2060-09-06
p134,2060,2060-09-07
p134,2060,2060-09-14
p134,2060,2060-09-15
p134,2060,2060-09-22
p134,2060,2060-09-23
p134,2061,2061-06-05
p134,2061,2061-06-09
p134,2061,2061-06-10
p134,2061,2061-06-14
p134,2061,2061-06-15
p134,2061,2061-06-16
p134,2061,2061-06-17
p134,2061,2061-06-20
p134,2061,2061-06-21
p134,2061,2061-06-22
p134,2061,2061-06-23
p134,2061,2061-06-24
p134,2061,2061-06-25
p134,2061,2061-07-08
p134,2061,2061-07-09
p134,2061,2061-07-10
p134,2061,2061-07-11
p134,2061,2061-07-12
p134,2061,2061-07-13
p134,2061,2061-07-14
p134,2061,2061-07-15
p134,2061,2061-07-17
p134,2061,2061-07-18
p134,2061,2061-07-19
p134,2061,2061-07-20
p134,2061,2061-07-21
p134,2061,2061-07-22
p134,2061,2061-07-25
p134,2061,2061-07-26
p134,2061,2061-07-27
p134,2061,2061-08-05
p134,2061,2061-08-07
p134,2061,2061-08-11
p134,2061,2061-08-15
p134,2061,2061-08-16
p134,2062,2062-07-03
p134,2062,2062-07-27
p134,2063,2063-07-13
p134,2063,2063-07-14
p134,2063,2063-07-15
p134,2063,2063-07-16
p134,2063,2063-07-17
p134,2063,2063-07-18
p134,2063,2063-07-20
p134,2063,2063-07-21
p134,2063,2063-07-22
p134,2063,2063-07-23
p134,2063,2063-07-24
p134,2063,2063-07-25
p134,2063,2063-07-31
p134,2063,2063-08-06
p134,2063,2063-08-09
p134,2063,2063-08-10
p134,2063,2063-08-11
p134,2063,2063-08-18
p134,2063,2063-08-19
p134,2063,2063-08-20
p134,2063,2063-08-21
p134,2063,2063-08-22
p134,2063,2063-08-29
p134,2063,2063-09-05
p134,2063,2063-09-06
p134,2063,2063-09-07
p134,2063,2063-09-10
p134,2063,2063-09-11
p134,2063,2063-09-12
p134,2064,2064-06-18
p134,2064,2064-06-19
p134,2064,2064-07-11
p134,2064,2064-07-12
p134,2064,2064-08-04
p134,2064,2064-08-05
p134,2064,2064-08-07
p134,2065,2065-06-01
p134,2065,2065-06-05
p134,2065,2065-06-09
p134,2065,2065-06-10
p134,2065,2065-06-17
p134,2065,2065-06-24
p134,2065,2065-07-09
p134,2065,2065-07-10
p134,2065,2065-07-20
p134,2065,2065-07-21
p134,2066,2066-06-12
p134,2066,2066-06-17
p134,2066,2066-06-20
p134,2066,2066-06-23
p134,2066,2066-06-24
p134,2066,2066-06-27
p134,2066,2066-06-28
p134,2066,2066-07-06
p134,2066,2066-07-07
p134,2066,2066-07-08
p134,2066,2066-07-09
p134,2066,2066-07-11
p134,2066,2066-07-12
p134,2066,2066-07-13
p134,2066,2066-07-14
p134,2066,2066-07-15
p134,2066,2066-07-16
p134,2066,2066-07-17
p134,2066,2066-07-18
p134,2066,2066-07-19
p134,2066,2066-07-20
p134,2066,2066-07-21
p134,2066,2066-07-22
p134,2066,2066-07-23
p134,2066,2066-07-24
p134,2066,2066-07-27
p134,2066,2066-07-28
p134,2066,2066-07-29
p134,2066,2066-07-30
p134,2066,2066-07-31
p134,2066,2066-08-01
p134,2066,2066-08-02
p134,2066,2066-08-07
p134,2066,2066-08-10
p134,2066,2066-09-25
p134,2067,2067-07-07
p134,2067,2067-07-09
p134,2067,2067-07-10
p134,2067,2067-07-11
p134,2067,2067-07-20
p134,2067,2067-07-21
p134,2067,2067-07-22
p134,2067,2067-07-23
p134,2067,2067-07-24
p134,2067,2067-07-25
p134,2067,2067-07-27
p134,2067,2067-07-28
p134,2067,2067-07-29
p134,2067,2067-07-30
p134,2067,2067-07-31
p134,2067,2067-08-03
p134,2067,2067-08-04
p134,2067,2067-08-08
p134,2067,2067-08-17
p134,2067,2067-08-18
p134,2067,2067-08-22
p134,2067,2067-08-26
p134,2067,2067-08-29
p134,2068,2068-06-07
p134,2068,2068-06-22
p134,2068,2068-06-23
p134,2068,2068-06-26
p134,2068,2068-07-07
p134,2068,2068-07-08
p134,2068,2068-07-09
p134,2068,2068-07-10
p134,2068,2068-07-11
p134,2068,2068-07-14
p134,2068,2068-07-15
p134,2068,2068-07-16
p134,2068,2068-07-17
p134,2068,2068-07-18
p134,2068,2068-07-21
p134,2068,2068-07-25
p134,2068,2068-07-29
p134,2068,2068-07-30
p134,2068,2068-08-01
p134,2068,2068-08-02
p134,2068,2068-08-03
p134,2068,2068-08-06
p134,2068,2068-08-08
p134,2068,2068-08-09
p134,2068,2068-08-13
p134,2068,2068-08-14
p134,2068,2068-08-15
p134,2068,2068-08-16
p134,2068,2068-08-17
p134,2068,2068-08-18
p134,2068,2068-08-19
p134,2068,2068-08-20
p134,2068,2068-08-26
p134,2069,2069-06-01
p134,2069,2069-06-02
p134,2069,2069-06-27
p134,2069,2069-07-08
p134,2069,2069-07-10
p134,2069,2069-07-11
p134,2069,2069-08-04
p134,2069,2069-08-06
p134,2069,2069-08-23
p134,2070,2070-06-08
p134,2070,2070-06-09
p134,2070,2070-06-19
p134,2070,2070-06-21
p134,2070,2070-06-22
p134,2070,2070-06-28
p134,2070,2070-06-29
p134,2070,2070-06-30
p134,2070,2070-07-01
p134,2070,2070-07-04
p134,2070,2070-07-05
p134,2070,2070-07-06
p134,2070,2070-07-08
p134,2070,2070-07-09
p134,2070,2070-07-12
p134,2070,2070-07-13
p134,2070,2070-07-31
p134,2070,2070-08-20
p134,2070,2070-08-27
p134,2070,2070-08-28
