region,Year,average_total_load
p103,2020,328584.3701676197
p103,2021,350995.6162009152
p103,2022,348890.4228949468
p103,2023,301426.1262793076
p103,2024,331389.5447994285
p103,2025,291310.2409885895
p103,2026,319864.61974764836
p103,2027,320580.41276403295
p103,2028,306609.7425142256
p103,2029,322325.69493612746
p103,2030,315116.3356882992
p103,2031,313688.220216894
p103,2032,334149.58668148326
p103,2033,323410.3994078337
p103,2034,310219.9330322756
p103,2035,320476.8526340615
p103,2036,328038.993254358
p103,2037,330739.62032161717
p103,2038,286824.61676783836
p103,2039,298461.39764843177
p103,2040,277816.37710130337
p103,2041,311285.4064488617
p103,2042,310924.247455611
p103,2043,317284.5597781023
p103,2044,281261.865678124
p103,2045,305513.2695623442
p103,2046,317707.80781474017
p103,2047,312636.6294338899
p103,2049,311548.7949252652
p103,2050,306897.6301851546
p103,2051,311418.1881199138
p103,2052,287094.7955108101
p103,2053,317960.0721242009
p103,2054,291255.7222532591
p103,2055,270872.4230561024
p103,2056,304120.7753539209
p103,2057,274310.0518992874
p103,2058,299324.4118467968
p103,2059,284390.134853984
p103,2060,292072.9904600427
p103,2061,310774.18621561397
p103,2062,296246.5761438621
p103,2063,295998.88719901006
p103,2064,293648.44050341746
p103,2065,288683.88116567716
p103,2066,300339.66755018005
p103,2067,289715.8411605598
p103,2068,286932.2869148502
p103,2069,290845.34508485504
p103,2070,284096.8499951252
p103,2071,281922.9803536372
p103,2072,301074.6351366735
p103,2073,292717.64891470916
p103,2074,278382.8727448794
p103,2075,306136.2326878045
p103,2076,281666.3363358414
p103,2077,295595.0801470331
p103,2078,273381.54500910663
p103,2079,277077.48762697296
p103,2080,267612.54790116264
p103,2081,281802.9444511327
p103,2082,279174.99600204005
p103,2083,273399.2221095539
p103,2084,280873.7284995361
p103,2085,277007.8832627817
p103,2086,294318.10242899065
p103,2087,281664.93380946433
p103,2088,268613.6157963027
p103,2089,291582.39852559805
p103,2090,279208.63269717543
p103,2091,284902.93367783236
p103,2092,266486.9127054855
p103,2093,280358.62205121614
p103,2094,279250.7335430303
p103,2095,289632.2583851302
p103,2096,273809.56460064265
p103,2097,257104.24746610533
p103,2098,281021.3102789351
p103,2099,279617.8622584178
p73,2020,9323.274777400517
p73,2023,9118.598380490575
p73,2024,9359.543806413249
p73,2025,7955.338427124777
p73,2026,9007.594340084115
p73,2027,8880.696515085416
p73,2028,9358.016562377003
p73,2030,9173.287012047338
p73,2033,9156.709316532158
p73,2034,8860.459142558513
p73,2036,8919.870767312243
p73,2037,7519.686104318893
p73,2038,7749.1470969043785
p73,2039,8653.68156887193
p73,2040,8341.178739687077
p73,2041,8539.104471122333
p73,2043,8450.934813680822
p73,2045,8337.797800217219
p73,2046,8484.999244688475
p73,2047,8559.487418619065
p73,2048,8528.24499812927
p73,2050,8319.501351803621
p73,2051,8231.828119513792
p73,2052,7998.9613869555615
p73,2053,7573.830483144083
p73,2054,8054.290399973339
p73,2057,7572.042582514914
p73,2058,7610.786259895328
p73,2060,7947.35172544591
p73,2061,7888.956581257968
p73,2062,8019.009726432526
p73,2063,7936.213434178594
p73,2064,7363.366743273336
p73,2065,7494.715511657437
p73,2066,7695.312012812663
p73,2067,7750.6245130344305
p73,2068,7614.08673468818
p73,2069,7818.973615923085
p73,2070,7532.859078981208
p73,2071,7255.395105022359
p73,2072,7487.623519746367
p73,2073,7518.109392779839
p73,2074,7253.485685406381
p73,2075,7541.366984130575
p73,2076,7300.685687430148
p73,2077,7202.375479859742
p73,2078,7149.252684060443
p73,2079,7123.955697256548
p73,2080,6991.77409378191
p73,2081,7243.4482127153815
p73,2082,7271.913109629104
p73,2083,7102.814788626756
p73,2084,7057.58749946389
p73,2085,6961.327501328908
p73,2086,6987.098010165319
p73,2087,7077.260261074532
p73,2088,7049.559590194865
p73,2089,6979.514754992421
p73,2090,6979.4037618802
p73,2091,6866.072993338939
p73,2092,6706.644731648407
p73,2093,6556.727998764291
p73,2094,6705.0914314058
p73,2097,6830.288321597998
p73,2098,6530.726019351698
p73,2099,6902.131174811428
p39,2020,7358.70629394163
p39,2021,7345.940997496924
p39,2022,7208.574401657422
p39,2023,8172.373834593952
p39,2025,7640.147975358629
p39,2026,7793.398104788074
p39,2027,8141.058544276403
p39,2028,7615.972122976132
p39,2029,7878.115818533564
p39,2030,7855.518262121367
p39,2031,7889.971243887585
p39,2032,8631.675420743924
p39,2034,8149.7652604206705
p39,2035,8820.879642946471
