region,Year,hdd
p120,2020,707.6460046326092
p120,2021,576.3388988593307
p120,2022,493.6111014464443
p120,2023,705.9419613690266
p120,2024,558.412483928433
p120,2025,591.7510490372254
p120,2026,618.0818241495713
p120,2027,700.3076267160606
p120,2028,722.930569188185
p120,2029,585.7624712922432
p120,2030,609.3941612452727
p120,2031,875.3158565225054
p120,2032,502.6073807502818
p120,2033,705.4625616735336
p120,2034,637.5080989113237
p120,2035,703.1367923742717
p120,2036,612.342359194347
p120,2037,599.0738950719935
p120,2038,739.4537858478225
p120,2039,745.0097503755005
p120,2040,602.0318998767403
p120,2041,688.4537837957723
p120,2042,865.5170201330529
p120,2043,589.8643204821888
p120,2044,685.1396917740394
p120,2045,809.6301256562874
p120,2046,685.50722850549
p120,2047,830.4628024512756
p120,2048,676.7398946953131
p120,2049,625.0665056947889
p120,2050,931.7831705738928
p120,2051,871.7165398671837
p120,2052,845.0160082443292
p120,2053,732.5813064930135
p120,2054,696.3499985045077
p120,2055,791.1595950299621
p120,2056,886.3036334437169
p120,2057,798.8085978054946
p120,2058,919.8128917241922
p120,2059,942.7124415876928
p120,2060,1174.588856418853
p120,2061,1015.8821250918515
p120,2062,959.4622793068492
p120,2063,1163.0754547682009
p120,2064,980.4015206319806
p120,2065,1103.959442346978
p120,2066,1097.0336016935307
p120,2067,1125.155433554669
p120,2068,1221.0151126744263
p120,2069,1025.716220727568
p120,2070,1096.3881793094683
p120,2071,1414.8827460681673
p120,2072,933.4180927677388
p120,2073,1220.136106706453
p120,2074,1107.4261288709954
p120,2075,1214.0653388163375
p120,2076,1054.8303804825618
p120,2077,1027.5158892427994
p120,2078,1251.8643727736148
p120,2079,1319.7862414931965
p120,2080,1097.0558969614694
p120,2081,1290.2027304648807
p120,2082,1518.6914549044557
p120,2083,1054.841604178407
p120,2084,1286.9208425847742
p120,2085,1355.9687442339934
p120,2086,1226.5109027091255
p120,2087,1439.0481053185642
p120,2088,1264.4247370308062
p120,2089,1223.181119851638
p120,2090,1605.942154038349
p120,2091,1532.09827547925
p120,2092,1513.9242881480536
p120,2093,1355.6412460882138
p120,2094,1347.1312127849685
p120,2095,1442.0466024627062
p120,2096,1487.0331987154218
p120,2097,1451.7922708255892
p120,2098,1467.4152143654555
p120,2099,1562.7762899565937
Maine,2020,221.78300510268275
Maine,2021,163.68647363234032
Maine,2022,137.54043931627865
Maine,2023,276.68780169238875
Maine,2024,238.80604729169096
Maine,2025,163.8019993744012
Maine,2026,133.2564663931293
Maine,2027,186.6899852244153
Maine,2028,311.00021751352693
Maine,2029,218.41789661373144
Maine,2030,250.74206432156075
Maine,2031,267.36735641552553
Maine,2032,148.9984628720926
Maine,2033,252.9312208487878
Maine,2034,269.1401809611758
Maine,2035,275.5217150434894
Maine,2036,184.71176373040527
Maine,2037,216.55813859273343
Maine,2038,223.1304384526209
Maine,2039,333.1565297772737
Maine,2040,159.55970529757633
Maine,2041,283.413796128357
Maine,2042,288.0391705715373
Maine,2043,250.6773665291023
Maine,2044,165.7427322469025
Maine,2045,308.5888561677661
Maine,2046,279.7461695867061
Maine,2047,240.25675328831625
Maine,2048,244.39771037749205
Maine,2049,204.804312078752
Maine,2050,369.8739892134586
Maine,2051,321.5097014000475
Maine,2052,345.3062579658959
Maine,2053,329.45897476563295
Maine,2054,316.41139872848936
Maine,2055,326.715880036567
Maine,2056,377.4604790634365
Maine,2057,318.14972635405434
Maine,2058,434.3207914144866
Maine,2059,316.25027431976065
Maine,2060,480.1783868586303
Maine,2061,463.11458317445215
Maine,2062,395.2811332331656
Maine,2063,584.9635602774221
Maine,2064,523.0404362510693
Maine,2065,436.2224665007544
Maine,2066,371.56288730975166
Maine,2067,475.26676453858335
Maine,2068,587.8871292839353
Maine,2069,550.17347548902
Maine,2070,577.2927632202114
Maine,2071,610.5394105926422
Maine,2072,475.5284597427984
Maine,2073,594.1094032282728
Maine,2074,587.859877274811
Maine,2075,616.2886889744882
Maine,2076,552.6827504468025
Maine,2077,585.2349662370805
Maine,2078,616.5666073886703
Maine,2079,758.4928626580581
Maine,2080,513.0664759132005
Maine,2081,710.0831100424273
Maine,2082,667.7076471122932
Maine,2083,663.020830153026
Maine,2084,549.7797497354795
Maine,2085,748.5584241766851
Maine,2086,693.53367696759
Maine,2087,681.5317612257617
Maine,2088,653.4110132641124
Maine,2089,590.0024877156528
Maine,2090,820.6426174318158
Maine,2091,798.261791995471
Maine,2092,825.5572358135013
Maine,2093,761.9526695094457
Maine,2094,763.0773944750185
Maine,2095,780.167546826987
Maine,2096,854.8981341958797
Maine,2097,814.1896599223088
Maine,2098,867.9523388603802
Maine,2099,706.8263045048318
Virginia,2020,901.1757637345798
Virginia,2021,767.9646110324005
Virginia,2022,674.9568802608776
Virginia,2023,851.3502901946257
Virginia,2024,761.03174759706
Virginia,2025,813.3883638267482
Virginia,2026,871.8427601665486
Virginia,2027,913.6689357432408
Virginia,2028,863.4746823341292
Virginia,2029,822.0507210236137
Virginia,2030,838.135114123038
Virginia,2031,1013.4107444005704
Virginia,2032,709.1525906218894
Virginia,2033,930.589788802076
Virginia,2034,834.5671613034549
Virginia,2035,920.6680998806372
Virginia,2036,781.8183537416953
Virginia,2037,753.7762325360561
Virginia,2038,950.225277984065
Virginia,2039,926.0069647591448
Virginia,2040,792.1487813844055
Virginia,2041,863.6558192134721
Virginia,2042,1098.6444378609135
Virginia,2043,791.3854180871608
Virginia,2044,915.1550539199704
Virginia,2045,953.7128784935747
Virginia,2046,859.8268997163868
Virginia,2047,1075.3916937058125
Virginia,2048,899.2072937843069
Virginia,2049,852.503399689556
Virginia,2050,1179.8796011230113
Virginia,2051,1095.949866532105
Virginia,2052,1022.5611490726516
Virginia,2053,887.0607458109441
Virginia,2054,929.823076895628
Virginia,2055,1010.8232301133498
Virginia,2056,1115.8470476595385
Virginia,2057,1042.5149986238662
Virginia,2058,1197.0308994112331
Virginia,2059,1241.5597160471443
Virginia,2060,1385.5523960497535
Virginia,2061,1312.5947846158235
Virginia,2062,1154.4855660411667
Virginia,2063,1314.7496233905972
Virginia,2064,1234.949596299703
Virginia,2065,1354.2236545983287
Virginia,2066,1373.7490247584074
Virginia,2067,1355.1265568772585
Virginia,2068,1330.1447033157756
Virginia,2069,1305.5507462276798
Virginia,2070,1384.016630339392
Virginia,2071,1543.700670750647
Virginia,2072,1171.9676520620849
Virginia,2073,1439.2324084859072
Virginia,2074,1333.1657285427168
Virginia,2075,1467.829363739721
Virginia,2076,1291.6220549795137
Virginia,2077,1207.9681891746477
Virginia,2078,1568.6446279169718
Virginia,2079,1483.5613805048076
Virginia,2080,1342.0820506963782
Virginia,2081,1467.2569221921476
Virginia,2082,1701.9219536690075
Virginia,2083,1310.173328442727
Virginia,2084,1499.8845829289876
Virginia,2085,1522.6908485248578
Virginia,2086,1479.7073863515966
Virginia,2087,1728.5945200946826
Virginia,2088,1532.8178609506876
Virginia,2089,1457.7497020454343
Virginia,2090,1855.328889189198
Virginia,2091,1848.5715458865732
