rb,Year,Date,Load_sum
p87,2020,2020-07-13,176176.37580919568
p87,2020,2020-07-14,179679.1529882086
p87,2020,2020-07-15,180387.10457808885
p87,2020,2020-07-16,180465.60415521072
p87,2020,2020-08-21,169752.8563980316
p87,2020,2020-09-14,167197.30100621836
p87,2026,2026-07-28,179296.87279790008
p87,2026,2026-07-29,184163.5795676808
p87,2026,2026-07-30,186229.91645488195
p87,2026,2026-07-31,183064.75771101733
p87,2026,2026-08-01,169909.18603771043
p87,2028,2028-06-29,172118.2580346664
p87,2028,2028-07-16,167829.59088399902
p87,2028,2028-08-15,178120.00918462645
p87,2030,2030-08-20,179841.0363762436
p87,2030,2030-08-21,181665.03834238343
p87,2030,2030-08-26,176030.06741375529
p87,2030,2030-08-27,178571.3643503342
p87,2030,2030-08-28,180759.3783885743
p87,2030,2030-08-29,181291.35469859865
p87,2030,2030-09-04,176739.6068754218
p87,2030,2030-09-05,174548.26046113265
p87,2030,2030-09-06,173627.99680961287
p87,2035,2035-08-17,184354.20578989404
p87,2038,2038-07-07,182748.9287875274
p87,2038,2038-07-10,171439.1958755586
p87,2038,2038-07-19,179898.9602597464
p87,2038,2038-07-20,180523.1103185458
p87,2038,2038-07-30,178876.86379885368
p87,2038,2038-07-31,170662.77575761324
p87,2038,2038-08-26,178959.4341625472
p87,2038,2038-08-27,175494.99352009784
p87,2038,2038-08-28,162537.55398050597
p87,2038,2038-08-29,165670.0740740698
p87,2038,2038-09-04,147073.66438173447
p87,2038,2038-09-05,150276.2915469212
p87,2039,2039-07-28,179810.28929167238
p87,2039,2039-07-29,182526.79573318033
p87,2039,2039-07-30,171732.67095288774
p87,2039,2039-07-31,173438.06167484078
p87,2039,2039-08-01,185220.27216991497
p87,2039,2039-08-02,180702.80251630684
p87,2039,2039-08-07,170304.46380308605
p87,2039,2039-08-10,176608.05924628687
p87,2039,2039-08-11,182049.4587939558
p87,2039,2039-08-12,185535.74710061046
p87,2039,2039-08-13,174955.11345109306
p87,2039,2039-08-17,177935.35760312932
p87,2039,2039-08-18,179325.97940863486
p87,2039,2039-08-19,179562.94941309368
p87,2040,2040-07-09,180202.84811468422
p87,2040,2040-07-10,180976.04025029743
p87,2040,2040-07-11,183462.64785894536
p87,2040,2040-07-12,180721.7393154089
p87,2040,2040-07-14,170226.15925041994
p87,2040,2040-07-15,172750.80830370227
p87,2040,2040-07-16,184269.4004563357
p87,2040,2040-07-17,182367.07975978305
p87,2040,2040-07-19,181439.9077673292
p87,2040,2040-07-20,184655.47135793074
p87,2040,2040-08-05,170099.8845550892
p87,2040,2040-08-06,180751.67909751605
p87,2040,2040-08-07,178550.42363617828
p87,2040,2040-08-09,179336.51891012522
p87,2040,2040-08-15,175791.94315910657
p87,2040,2040-08-16,180460.3082967251
p87,2040,2040-08-17,180171.2729191976
