rb,Year,Date,Load_sum
p116,2020,2020-03-03,111611.78
p116,2021,2021-01-12,120076.01
p116,2021,2021-02-12,114828.61
p116,2022,2022-01-10,125311.91
p116,2022,2022-01-11,130951.9
p116,2022,2022-01-17,126268.0
p116,2022,2022-01-18,115541.51000000001
p116,2023,2023-12-24,108804.87
p116,2023,2023-12-25,105488.36
p116,2023,2023-12-26,122486.63
p116,2024,2024-01-20,109848.93
p116,2024,2024-01-21,116492.79999999999
p116,2025,2025-01-20,120002.88
p116,2025,2025-01-21,138947.87
p116,2025,2025-01-22,115261.12
p116,2026,2026-01-28,119255.81
p116,2028,2028-01-06,121081.61
p116,2029,2029-12-22,115638.55
p116,2029,2029-12-23,114272.17000000001
p116,2029,2029-12-24,117796.42
p116,2033,2033-03-15,108694.61
p116,2034,2034-01-15,112772.84
p116,2034,2034-01-16,116908.86
p116,2034,2034-01-18,120141.61
p116,2034,2034-01-19,139430.45
p116,2034,2034-01-20,121308.26
p116,2034,2034-01-21,111710.01999999999
p116,2035,2035-02-12,115350.73
p116,2036,2036-02-04,119112.14
p116,2036,2036-02-05,117810.11
p116,2037,2037-01-17,111920.20999999999
p116,2049,2049-01-16,109619.26
p116,2054,2054-01-07,126322.67000000001
p116,2054,2054-01-22,117269.92000000001
p116,2054,2054-01-24,111714.81
p116,2054,2054-01-28,122602.86
p116,2054,2054-01-29,120793.56
p116,2055,2055-02-15,112690.97
p116,2055,2055-02-19,120949.89
p116,2055,2055-02-20,113054.39000000001
p116,2055,2055-03-06,97832.24
p116,2059,2059-01-30,113359.26000000001
p116,2059,2059-01-31,123743.25
p116,2062,2062-01-10,121004.6
p116,2062,2062-01-11,125632.18
p116,2062,2062-01-17,131555.89
p116,2062,2062-01-18,113277.03
p116,2063,2063-12-24,112591.01999999999
p116,2063,2063-12-25,101169.84
p116,2063,2063-12-26,118406.72
p116,2064,2064-01-21,114491.83
p116,2065,2065-01-20,122529.09
p116,2065,2065-01-21,131765.8
p116,2069,2069-12-22,111483.73999999999
p116,2074,2074-01-16,119854.74
p116,2074,2074-01-18,116215.53
p116,2074,2074-01-19,132593.82
p116,2094,2094-01-07,122965.21
p116,2094,2094-01-28,118157.77
p116,2095,2095-02-20,109723.23000000001
p116,2099,2099-01-31,110518.41
