rb,Year,Date,Load_sum
p87,2022,2022-01-10,177417.18113857327
p87,2022,2022-01-11,212454.81683774863
p87,2022,2022-01-17,178600.8090685179
p87,2023,2023-12-24,175085.0222398622
p87,2023,2023-12-25,190705.67584370135
p87,2023,2023-12-26,187600.08890418973
p87,2023,2023-12-30,173517.51442138056
p87,2023,2023-12-31,167441.70787909758
p87,2024,2024-01-21,170888.33213934326
p87,2025,2025-01-20,183587.13212260584
p87,2025,2025-01-21,216019.25221899367
p87,2025,2025-02-03,181832.05275416817
p87,2029,2029-12-22,190721.34901021988
p87,2029,2029-12-23,205375.9751279184
p87,2029,2029-12-24,196285.99839060375
p87,2034,2034-01-18,183589.62036302543
p87,2034,2034-01-19,189245.62062337762
p87,2036,2036-01-19,171784.51992067244
p87,2036,2036-02-03,181139.37323177618
p87,2036,2036-02-04,194575.71471697735
p87,2036,2036-02-05,184516.87144620705
p87,2040,2040-12-17,160727.3357767332
p87,2043,2043-01-24,176152.4379949242
p87,2050,2050-01-08,176043.3172720223
p87,2054,2054-01-07,193897.27984808065
p87,2055,2055-01-08,185228.63962674304
p87,2058,2058-01-02,184801.7355979228
p87,2058,2058-01-17,190342.47770232428
p87,2062,2062-01-10,174688.9580634084
p87,2062,2062-01-11,206307.70777011634
p87,2062,2062-01-17,183695.27847052732
p87,2063,2063-12-24,171348.78446722153
p87,2063,2063-12-25,182871.36305406265
p87,2063,2063-12-26,181477.47045517113
p87,2065,2065-01-20,185554.4346753136
p87,2065,2065-01-21,207761.95585625907
p87,2069,2069-12-22,186440.19073103624
p87,2069,2069-12-23,198280.30135552998
p87,2069,2069-12-24,191566.16066677158
p87,2076,2076-02-03,187532.55726786275
p87,2076,2076-02-04,189136.37415572733
p87,2076,2076-02-05,179434.55739542766
p87,2094,2094-01-07,188729.98953469694
