rb,Year,Date,Load_sum
p55,2020,2020-07-10,312313.34694390785
p55,2020,2020-07-12,283347.98743500427
p55,2020,2020-07-14,307325.1687844412
p55,2020,2020-07-15,311726.1084027186
p55,2020,2020-07-16,309989.07615175506
p55,2020,2020-07-18,272008.6976132979
p55,2020,2020-07-19,283312.21672184445
p55,2020,2020-07-30,292711.37059337646
p55,2020,2020-08-01,266785.64984013385
p55,2020,2020-08-09,282602.3066704826
p55,2020,2020-08-10,303019.47491339396
p55,2023,2023-08-26,280813.2793921467
p55,2024,2024-08-28,276760.8903652804
p55,2024,2024-08-29,285099.0860282117
p55,2027,2027-07-31,275225.9139050481
p55,2027,2027-08-01,277022.35898646025
p55,2027,2027-08-02,303950.11683415
p55,2027,2027-08-03,301407.40040331904
p55,2027,2027-08-21,260540.09395196557
p55,2028,2028-08-08,288992.2544991331
p55,2028,2028-08-15,304916.2735994966
p55,2028,2028-08-16,306573.7094079575
p55,2028,2028-08-17,293813.21711391385
p55,2030,2030-08-28,283208.1957943479
p55,2036,2036-08-06,285708.1723227491
p55,2038,2038-08-24,278286.5946935537
p55,2040,2040-08-15,269034.2267617202
p55,2040,2040-08-17,270204.1440923297
p55,2040,2040-08-27,262061.3407128501
p55,2040,2040-08-28,266526.9538457175
p55,2040,2040-08-29,272336.5737787127
p55,2040,2040-08-30,272506.27697987785
p55,2040,2040-08-31,273176.62062884
p55,2040,2040-09-01,237938.65527247978
p55,2040,2040-09-02,241860.62342847456
p55,2043,2043-08-17,268219.5972441074
p55,2043,2043-08-18,264385.1019941326
p55,2043,2043-08-19,263302.88491529453
p55,2043,2043-08-21,268754.4643843258
p55,2043,2043-08-26,260322.4705990078
p55,2045,2045-07-22,251151.20903689053
p55,2045,2045-07-23,253069.88645233584
p55,2045,2045-07-24,269974.1068749484
p55,2046,2046-07-17,269786.1163645172
p55,2046,2046-07-18,267703.65004632616
p55,2046,2046-07-19,270905.1285232105
p55,2046,2046-07-20,267423.6998102221
p55,2046,2046-07-29,242066.96982488176
p55,2046,2046-07-30,272101.7154597356
p55,2046,2046-07-31,269981.40579141397
p55,2046,2046-08-01,275224.8886305877
p55,2046,2046-08-02,276294.67483734817
p55,2046,2046-08-06,262250.77119819925
p55,2047,2047-08-12,267648.89724009373
p55,2047,2047-08-14,260177.15971769145
p55,2047,2047-08-15,268442.40154206334
p55,2050,2050-08-03,269239.7653939951
p55,2050,2050-08-12,268013.42107052804
p55,2050,2050-08-13,241327.7425633621
p55,2051,2051-07-10,264292.95234997536
p55,2051,2051-07-11,270079.02570752474
p55,2051,2051-07-22,252530.74706641742
p55,2051,2051-07-27,269264.60664613266
p55,2051,2051-07-28,269786.86380509334
p55,2051,2051-08-01,270152.8237476225
p55,2051,2051-08-02,270153.34472825786
p55,2051,2051-08-03,271194.98060916975
p55,2051,2051-08-07,264803.4983542532
p55,2051,2051-08-24,264111.46009407256
p55,2051,2051-08-31,236993.01547843538
p55,2051,2051-09-01,244662.16411442112
p55,2051,2051-09-02,225872.99911236126
p55,2052,2052-06-27,224929.81315885484
p55,2052,2052-06-28,241101.4957142049
p55,2052,2052-06-29,227644.80268595627
p55,2052,2052-06-30,231585.11522399783
p55,2052,2052-07-01,260346.2944920212
p55,2052,2052-07-03,259240.8298954573
p55,2052,2052-07-04,230221.5554895898
p55,2052,2052-07-05,262610.2372049521
p55,2052,2052-07-06,242492.75467893435
p55,2052,2052-07-07,248957.83330763964
p55,2052,2052-07-08,262356.0908458067
p55,2052,2052-07-17,266155.2761647075
p55,2052,2052-07-18,270423.5260348836
p55,2052,2052-07-19,264589.30984293733
p55,2052,2052-07-20,224999.79810421364
p55,2052,2052-07-22,250529.22449239
p55,2052,2052-07-23,264340.23212509777
p55,2052,2052-07-24,270493.2095116391
p55,2052,2052-07-25,267605.0179230235
p55,2052,2052-07-26,262707.2822877005
p55,2052,2052-07-29,242898.5769716616
p55,2052,2052-07-30,245629.79338376847
p55,2052,2052-07-31,252652.24551772716
p55,2052,2052-08-01,246828.45606372802
p55,2052,2052-08-02,245542.42707436963
p55,2052,2052-08-03,225132.674127299
p55,2052,2052-08-04,240531.4758469724
p55,2052,2052-08-05,240272.82585373387
p55,2052,2052-08-07,223167.04405979684
p55,2052,2052-08-08,233582.91750057833
p55,2054,2054-08-24,253489.45226452436
p55,2054,2054-08-25,253863.32958739344
p55,2057,2057-07-22,236193.7269561433
p55,2058,2058-07-20,217279.99256367015
p55,2060,2060-07-01,251367.91081440297
p55,2060,2060-07-04,212665.0674031297
p55,2060,2060-07-05,224790.81941612886
p55,2060,2060-07-07,261132.85747410485
p55,2060,2060-07-08,265732.6790911194
p55,2060,2060-07-09,262443.84673349815
p55,2060,2060-07-10,242261.651806303
p55,2060,2060-07-11,242306.27539288223
p55,2060,2060-07-12,263537.9388766651
p55,2060,2060-07-13,258565.62009159315
p55,2060,2060-07-14,263852.62852590973
p55,2060,2060-07-15,267325.2867285522
p55,2060,2060-07-16,266639.7843552114
p55,2060,2060-07-17,231359.06423848146
p55,2060,2060-07-18,230678.190910801
p55,2060,2060-07-19,262782.8075765331
