rb,Year,Date,Load_sum
p10,2025,2025-02-01,675516.3284437377
p10,2027,2027-01-16,718184.1011168605
p10,2027,2027-01-17,718299.7331035231
p10,2027,2027-12-24,698303.09503061
p10,2027,2027-12-25,687007.7935474098
p10,2028,2028-12-26,790001.8282566112
p10,2028,2028-12-27,802017.1819802984
p10,2028,2028-12-28,795396.7353181103
p10,2028,2028-12-29,798784.9339015654
p10,2029,2029-01-08,784508.6824002278
p10,2029,2029-02-05,767829.2847416345
p10,2029,2029-02-06,801716.0408203753
p10,2029,2029-02-07,798939.536504687
p10,2029,2029-02-08,780255.749063623
p10,2030,2030-02-14,772906.2701183739
p10,2030,2030-02-15,798408.7191623554
p10,2030,2030-12-20,791417.5416827641
p10,2030,2030-12-21,782495.3954180174
p10,2030,2030-12-22,804817.0756967589
p10,2030,2030-12-23,842502.5998842773
p10,2030,2030-12-24,818136.2726027388
p10,2038,2038-12-21,825995.0638078935
p10,2038,2038-12-22,836581.3703043688
p10,2038,2038-12-23,837175.0894378591
p10,2047,2047-01-13,802517.4180475129
p10,2047,2047-01-14,892775.8469876638
p10,2053,2053-01-12,808898.2663397
p10,2053,2053-01-13,899094.5430959025
p10,2053,2053-01-14,909576.9830902766
p10,2058,2058-02-20,880902.9655637011
p10,2069,2069-02-05,925352.4348549019
p10,2069,2069-02-06,955677.4338816896
p10,2069,2069-02-07,951490.962818097
p10,2070,2070-02-15,862083.9227603043
p10,2070,2070-12-21,932195.4827028841
p10,2070,2070-12-22,1020820.9344230148
p10,2070,2070-12-23,1009467.8910016912
p10,2087,2087-01-13,1059560.571436412
p10,2093,2093-01-14,1098714.4180668308
