rb,Year,Date,Load_sum
p97,2020,2020-02-01,489785.8024157414
p97,2020,2020-02-02,490647.5912152213
p97,2020,2020-02-03,504552.54184469825
p97,2020,2020-03-03,518213.9909192824
p97,2021,2021-01-05,539687.7198685887
p97,2021,2021-01-12,544598.6450934075
p97,2021,2021-01-13,533701.4405429775
p97,2022,2022-01-10,569288.479176633
p97,2022,2022-01-11,633360.5393551991
p97,2022,2022-01-12,553519.6330827249
p97,2022,2022-01-17,529187.4009617122
p97,2023,2023-12-24,442969.2142714576
p97,2023,2023-12-25,578926.0793886776
p97,2023,2023-12-26,572911.5707347839
p97,2025,2025-01-20,502277.0314472462
p97,2025,2025-01-21,683139.7544269498
p97,2025,2025-01-22,561518.8889579384
p97,2025,2025-01-23,511985.43848715036
p97,2026,2026-01-28,576775.3823565673
p97,2029,2029-12-22,525777.550131518
p97,2029,2029-12-23,556144.4432466228
p97,2029,2029-12-25,493878.1227532537
p97,2033,2033-03-15,495784.0976988104
p97,2034,2034-01-16,573405.8935957724
p97,2034,2034-01-19,611049.9039938208
p97,2036,2036-02-04,573132.1472915035
p97,2036,2036-02-05,601720.2526790074
p97,2043,2043-01-24,549785.0217535831
p97,2049,2049-01-17,539435.9296028633
p97,2049,2049-03-03,530622.6140015617
p97,2054,2054-01-07,622986.2896855515
p97,2054,2054-01-24,563729.3477935072
p97,2054,2054-01-30,582017.1262451429
p97,2055,2055-01-08,602272.1983238212
p97,2055,2055-02-15,545552.5010226367
p97,2055,2055-02-19,608368.2419140141
p97,2055,2055-02-20,595673.8285188179
p97,2057,2057-01-08,621372.0143708244
p97,2057,2057-01-09,613478.9575399146
p97,2058,2058-01-05,569946.6270216446
p97,2058,2058-01-06,573331.7874046032
p97,2058,2058-01-07,617558.5779433665
p97,2060,2060-03-03,554832.4601661947
p97,2062,2062-01-10,615915.3629274464
p97,2062,2062-01-11,682279.5279766305
p97,2062,2062-01-17,598361.122954149
p97,2063,2063-12-25,619742.2781231474
p97,2063,2063-12-26,617659.1577869185
p97,2065,2065-01-20,571964.0248480493
p97,2065,2065-01-21,735845.0256325292
p97,2074,2074-01-16,649611.9549397852
p97,2074,2074-01-19,663413.4449375592
p97,2076,2076-02-05,628043.134749397
p97,2095,2095-02-20,622433.8340922027
